   i    j      cc  nref
   8   36  0.5749 2147
   8   37  0.6315 4543
   8   38  0.5944 2256
   8   39  0.4379 4485
   8   40  0.5979 3555
   8   41  0.4256 4699
   8   42  0.6381 4616
   8   43  0.7815 3127
   8   44  0.9220 3422
   8   45  0.9286 3180
   8   46  0.7411 3365
   8   47  0.7917 5227
   8   48  0.7015 1590
   8   49  0.9132 5279
   8   50  0.8124 1520
   8   51  0.6192 3407
   8   52  0.8971 4761
   8   53  0.6114 4751
   8   54  0.8635 3464
   8   55  0.5513 1238
   8   56  0.6844 5129
   8   57  0.5647 1286
   8   58  0.6364 5132
   8   59  0.5915 3953
   8   60  0.5989 3579
   8   61  0.6092 3960
   8   62  0.6349 3629
   8   63  0.6013 4782
   8   64  0.6983 3689
   8   65  0.6415 3648
   8   66  0.7028 4865
   9   10  0.9736 3512
   9   11  0.4679 4445
   9   12  0.5554 1112
   9   13  0.4342 3712
   9   14  0.5079 2830
   9   15  0.4204 3830
   9   16  0.5486 4964
   9   17  0.6753 3705
   9   18  0.6468 3908
   9   19  0.6852 5034
   9   20  0.9339 3229
   9   21  0.9386 3421
   9   22  0.9672 3197
   9   23  0.9113 3398
   9   24  0.9157 4062
   9   25  0.9626 4772
   9   26  0.9534 4097
   9   27  0.9514 4711
   9   28  0.9460 3574
   9   29  0.9640 2313
   9   30  0.8550 2259
   9   31  0.9483 3568
   9   32  0.5440 3442
   9   33  0.6225 3807
   9   34  0.6938 3517
   9   35  0.6330 3831
   9   36  0.6498 2121
   9   37  0.6109 4516
   9   38  0.6467 2231
   9   39  0.4521 4461
   9   40  0.5859 3563
   9   41  0.4524 4682
   9   42  0.6406 4595
   9   43  0.7526 3084
   9   44  0.9046 3436
   9   45  0.8985 3130
   9   46  0.7181 3387
   9   47  0.7690 5201
   9   48  0.7005 1555
   9   49  0.8555 5251
   9   50  0.7858 1490
   9   51  0.5978 3364
   9   52  0.8597 4781
   9   53  0.6370 4767
   9   54  0.8325 3425
   9   55  0.5419 1210
   9   56  0.6734 5104
   9   57  0.5447 1258
   9   58  0.5887 5110
   9   59  0.5626 3920
   9   60  0.5814 3554
   9   61  0.5872 3926
   9   62  0.6155 3599
   9   63  0.5573 4743
   9   64  0.6863 3658
   9   65  0.6335 3605
   9   66  0.6742 4825
  10   11  0.3688 2348
  10   12  0.5701 3152
  10   13  0.3704 4823
  10   14  0.5273 4802
  10   15  0.3844 4936
  10   16  0.4172 3816
  10   17  0.5651 1766
  10   18  0.5360 1931
  10   19  0.6001 3874
  10   20  0.9373 1932
  10   21  0.9250 3450
  10   22  0.9685 1913
  10   23  0.8287 3417
  10   24  0.8721 3031
  10   25  0.9249 3812
  10   26  0.9537 3050
  10   27  0.9281 3773
  10   28  0.8890 3777
  10   29  0.9428 2297
  10   30  0.7524 2257
  10   31  0.9049 3769
  10   32  0.4135 3270
  10   33  0.5684 3797
  10   34  0.5844 3356
  10   35  0.6215 3786
  10   36  0.5516 1889
  10   37  0.5370 3604
  10   38  0.6458 1941
  10   39  0.3686 3639
  10   40  0.5249 2507
  10   41  0.3842 4101
  10   42  0.6114 3921
  10   43  0.7978 5003
  10   44  0.8986 1749
  10   45  0.9218 5046
  10   46  0.6548 1702
  10   47  0.7488 3847
  10   48  0.7006 3511
  10   49  0.9040 3888
  10   50  0.8169 3424
  10   51  0.6984 5027
  10   52  0.8716 2975
  10   53  0.5246 2997
  10   54  0.8698 5094
  10   55  0.5957 3134
  10   56  0.5950 3600
  10   57  0.5976 3208
  10   58  0.5843 3652
  10   59  0.5913 5471
  10   60  0.5968 4960
  10   61  0.6271 5437
  10   62  0.6327 5094
  10   63  0.5907 3636
  10   64  0.5872 2283
  10   65  0.5157 2285
  10   66  0.6535 3659
  11   12  0.8371  524
  11   13  0.6916 2489
  11   14  0.6600 1653
  11   15  0.9275 2600
  11   16  0.6145 3909
  11   17  0.7460 3809
  11   18  0.5641 3988
  11   19  0.7056 3959
  11   20  0.5520 3398
  11   21  0.5073 2479
  11   22  0.5177 3363
  11   23  0.5623 2482
  11   24  0.5582 3651
  11   25  0.5034 3953
  11   26  0.5168 3689
  11   27  0.5302 3878
  11   28  0.4918 2528
  11   29  0.5561 1723
  11   30  0.5724 1696
  11   31  0.5197 2521
  11   32  0.7257 2689
  11   33  0.7172 2826
  11   34  0.6312 2729
  11   35  0.6702 2871
  11   36  0.6215 1739
  11   37  0.5612 3849
  11   38  0.6223 1840
  11   39  0.8778 3735
  11   40  0.5676 3562
  11   41  0.8377 3685
  11   42  0.6826 3697
  11   43  0.4429 1830
  11   44  0.5705 3712
  11   45  0.4537 1874
  11   46  0.5970 3681
  11   47  0.5931 4085
  11   48  0.4285  786
  11   49  0.5315 4086
  11   50  0.4592  730
  11   51  0.2920 2187
  11   52  0.5203 4680
  11   53  0.5121 4729
  11   54  0.4375 2247
  11   55  0.5195  787
  11   56  0.5633 4375
  11   57  0.5137  823
  11   58  0.5323 4350
  11   59  0.5069 2788
  11   60  0.5175 2515
  11   61  0.4859 2787
  11   62  0.5585 2553
  11   63  0.4611 3882
  11   64  0.4968 3229
  11   65  0.4664 3181
  11   66  0.5749 3912
  12   13  0.5245 2429
  12   14  0.9013 3380
  12   15  0.8296 2495
  12   16  0.5852 1511
  12   17  0.9609  537
  12   18  0.8241  587
  12   19  0.9105 1493
  12   20  0.6232  813
  12   21  0.6602 2249
  12   22  0.6146  816
  12   23  0.7093 2240
  12   24  0.6554 1622
  12   25  0.6354 2004
  12   26  0.6028 1635
  12   27  0.6015 1988
  12   28  0.7116 2495
  12   29  0.7322 1583
  12   30  0.7183 1572
  12   31  0.6639 2487
  12   32  0.6898 2173
  12   33  0.8618 2475
  12   34  0.8414 2213
  12   35  0.9284 2446
  12   36  0.8182 1311
  12   37  0.7877 1984
  12   38  0.9179 1325
  12   39  0.6544 2011
  12   40  0.7724  991
  12   41  0.7762 2171
  12   42  0.9259 2102
  12   43  0.8583 3387
  12   44  0.7431  654
  12   45  0.8099 3347
  12   46  0.7510  646
  12   47  0.8503 1624
  12   48  0.7821 3405
  12   49  0.6948 1656
  12   50  0.8502 3415
  12   51  0.7026 3039
  12   52  0.7452  882
  12   53  0.7168  935
  12   54  0.7940 3060
  12   55  0.8216 3541
  12   56  0.8660 1354
  12   57  0.8108 3562
  12   58  0.8114 1398
  12   59  0.7615 3015
  12   60  0.8255 3053
  12   61  0.7966 2951
  12   62  0.8441 3125
  12   63  0.7694 1706
  12   64  0.9460  966
  12   65  0.8006  974
  12   66  0.8867 1690
  13   14  0.5841 4103
  13   15  0.6097 5427
  13   16  0.5684 4021
  13   17  0.7620 1775
  13   18  0.6302 1960
  13   19  0.7414 4103
  13   20  0.4532 1712
  13   21  0.3564 3353
  13   22  0.4737 1680
  13   23  0.3766 3313
  13   24  0.5300 2843
  13   25  0.4725 3734
  13   26  0.4688 2873
  13   27  0.4589 3712
  13   28  0.3456 3555
  13   29  0.3155 2261
  13   30  0.3193 2228
  13   31  0.3486 3560
  13   32  0.5437 3077
  13   33  0.6318 3535
  13   34  0.4339 3171
  13   35  0.4876 3563
  13   36  0.5426 1893
  13   37  0.5547 3348
  13   38  0.5287 1948
  13   39  0.6392 3400
  13   40  0.5758 2446
  13   41  0.6780 3892
  13   42  0.7010 3759
  13   43  0.5229 4247
  13   44  0.5604 1587
  13   45  0.4493 4295
  13   46  0.5316 1529
  13   47  0.6094 4123
  13   48  0.3918 2830
  13   49  0.5497 4146
  13   50  0.4438 2769
  13   51  0.4721 4742
  13   52  0.5328 3119
  13   53  0.5504 3152
  13   54  0.5011 4814
  13   55  0.4620 2397
  13   56  0.5620 3752
  13   57  0.4638 2461
  13   58  0.5514 3812
  13   59  0.4801 4882
  13   60  0.4938 4217
  13   61  0.4528 4903
  13   62  0.5094 4334
  13   63  0.4502 3615
  13   64  0.6125 2498
  13   65  0.5261 2499
  13   66  0.5326 3670
  14   15  0.7219 4184
  14   16  0.6637 3140
  14   17  0.8684 1324
  14   18  0.7649 1475
  14   19  0.8800 3188
  14   20  0.4979 1341
  14   21  0.6628 3446
  14   22  0.4966 1327
  14   23  0.7082 3408
  14   24  0.5973 2564
  14   25  0.5901 3304
  14   26  0.5404 2577
  14   27  0.5622 3288
  14   28  0.7316 3809
  14   29  0.7428 2376
  14   30  0.7345 2330
  14   31  0.6954 3832
  14   32  0.6092 3249
  14   33  0.7967 3813
  14   34  0.8033 3312
  14   35  0.8644 3780
  14   36  0.6950 1954
  14   37  0.7412 3175
  14   38  0.8362 1988
  14   39  0.6199 3184
  14   40  0.7337 1796
  14   41  0.7099 3515
  14   42  0.8717 3365
  14   43  0.8200 4881
  14   44  0.6329 1202
  14   45  0.7294 4829
  14   46  0.6680 1156
  14   47  0.7619 3226
  14   48  0.7488 3887
  14   49  0.6217 3264
  14   50  0.8238 3830
  14   51  0.6492 4538
  14   52  0.6121 2143
  14   53  0.6998 2162
  14   54  0.7708 4575
  14   55  0.7823 3323
  14   56  0.8146 3025
  14   57  0.7718 3380
  14   58  0.7672 3105
  14   59  0.7222 4730
  14   60  0.8062 4771
  14   61  0.7041 4676
  14   62  0.8152 4885
  14   63  0.7417 3266
  14   64  0.8770 1996
  14   65  0.7566 2005
  14   66  0.8527 3264
  15   16  0.5707 4155
  15   17  0.6731 1878
  15   18  0.5143 2067
  15   19  0.6747 4240
  15   20  0.4390 1787
  15   21  0.4683 3457
  15   22  0.4331 1752
  15   23  0.5599 3415
  15   24  0.5306 2959
  15   25  0.5003 3873
  15   26  0.4742 2989
  15   27  0.4699 3843
  15   28  0.5358 3656
  15   29  0.5043 2312
  15   30  0.5437 2279
  15   31  0.5307 3660
  15   32  0.6060 3176
  15   33  0.6636 3633
  15   34  0.5810 3262
  15   35  0.6044 3661
  15   36  0.5544 1937
  15   37  0.4735 3483
  15   38  0.5718 1994
  15   39  0.7996 3536
  15   40  0.5199 2542
  15   41  0.8242 4029
  15   42  0.6701 3911
  15   43  0.5135 4360
  15   44  0.4903 1663
  15   45  0.5044 4404
  15   46  0.5269 1624
  15   47  0.5071 4244
  15   48  0.5054 2900
  15   49  0.4219 4275
  15   50  0.5551 2834
  15   51  0.4143 4851
  15   52  0.4765 3228
  15   53  0.5261 3263
  15   54  0.4959 4917
  15   55  0.5440 2476
  15   56  0.4683 3890
  15   57  0.5396 2542
  15   58  0.4369 3956
  15   59  0.4808 4997
  15   60  0.4777 4321
  15   61  0.5117 5024
  15   62  0.5088 4445
  15   63  0.4274 3745
  15   64  0.4979 2592
  15   65  0.4660 2596
  15   66  0.4867 3805
