   i    j      cc  nref
   6   56  0.9789 2381
   6   57  0.7542 2381
   6   58  0.6972 3679
   6   59  0.9705 2345
   6   60  0.9665 1961
   6   61  0.9515 2989
   6   62  0.9414 4529
   6   63  0.9398 5014
   6   64  0.9555 2487
   6   65  0.9566 1867
   6   66  0.9537 1965
   6   67  0.9196 5028
   6   68  0.9459 2970
   6   69  0.9326 4347
   6   70  0.9356 4832
   6   71  0.9050 2370
   6   72  0.9524 1836
   6   73  0.9522 1888
   6   74  0.9370 2959
   6   75  0.9219 4262
   6   76  0.9209 4562
   6   77  0.9586 2265
   6   78  0.9473 2487
   6   79  0.8732 1858
   6   80  0.9505 1949
   6   81  0.9301 2945
   6   82  0.9465 1853
   7    8  0.9935 3816
   7    9  0.9442 3246
   7   10  0.9740 2182
   7   11  0.9947  765
   7   12  0.9787 3236
   7   13  0.9777 2812
   7   14  0.9929 2169
   7   15  0.9693  748
   7   16  0.8056 2657
   7   17  0.9827 2472
   7   18  0.9384 3109
   7   19  0.9888 1771
   7   20  0.9846 2486
   7   21  0.9486 3140
   7   22  0.9856 2885
   7   23  0.9884 2200
   7   24  0.9627 2790
   7   25  0.9917 3176
   7   26  0.9884 2910
   7   27  0.7171 2181
   7   28  0.9538 1745
   7   29  0.9888 2496
   7   30  0.9637 3167
   7   31  0.7518 2860
   7   32  0.9849 2197
   7   33  0.9125 4392
   7   34  0.5631 2223
   7   35  0.9892 1575
   7   36  0.8581 2064
   7   37  0.9668 4174
   7   38  0.9631 4812
   7   39  0.9733 2242
   7   40  0.9816  824
   7   41  0.9882 1904
   7   42  0.9844 3211
   7   43  0.9877 4226
   7   44  0.9451  801
   7   45  0.9862 4737
   7   46  0.9765 2264
   7   47  0.9788  812
   7   48  0.9710 1882
   7   49  0.9560 3134
   7   50  0.9839 4183
   7   51  0.9848 4796
   7   52  0.9610 2233
   7   53  0.9747  817
   7   54  0.9825 1882
   7   55  0.9729 1857
   7   56  0.9720 3166
   7   57  0.7236 4096
   7   58  0.6759 4205
   7   59  0.9079 3084
   7   60  0.8286 2578
   7   61  0.9394 3318
   7   62  0.9226 3153
   7   63  0.9379 1980
   7   64  0.9738 1471
   7   65  0.9662 2025
   7   66  0.9277 2601
   7   67  0.9101 1997
   7   68  0.9309 3274
   7   69  0.9105 3020
   7   70  0.9306 1907
   7   71  0.9438 1466
   7   72  0.9583 2038
   7   73  0.8209 2536
   7   74  0.9185 3223
   7   75  0.8980 2886
   7   76  0.9143 1775
   7   77  0.9591 1450
   7   78  0.9683 1469
   7   79  0.8994 2059
   7   80  0.9358 2585
   7   81  0.8957 3164
   7   82  0.9598 1988
   8    9  0.9732 3560
   8   10  0.9826 1445
   8   11  0.9908  590
   8   12  0.9682 3610
   8   13  0.9804 3370
   8   14  0.9936 1437
   8   15  0.9378  579
   8   16  0.8441 1547
   8   17  0.9867 1746
   8   18  0.9348 2179
   8   19  0.9846 1370
   8   20  0.9853 2309
   8   21  0.9839 2208
   8   22  0.9849 2464
   8   23  0.9899 2286
   8   24  0.9730 2396
   8   25  0.9888 2234
   8   26  0.9875 2477
   8   27  0.6667 2283
   8   28  0.9703 1365
   8   29  0.9860 2325
   8   30  0.9800 2226
   8   31  0.7682 2429
   8   32  0.9854 2268
   8   33  0.8995 4683
   8   34  0.5928 2045
   8   35  0.9878 1294
   8   36  0.8732 1536
   8   37  0.9662 3701
   8   38  0.9571 3208
   8   39  0.9808 1672
   8   40  0.9831  727
   8   41  0.9896 1754
   8   42  0.9866 2973
   8   43  0.9838 3764
   8   44  0.9608  716
   8   45  0.9839 3155
   8   46  0.9826 1685
   8   47  0.9686  710
   8   48  0.9738 1757
   8   49  0.9699 2912
   8   50  0.9817 3699
   8   51  0.9816 3209
   8   52  0.9695 1676
   8   53  0.9711  717
   8   54  0.9864 1747
   8   55  0.9826 1734
   8   56  0.9797 2936
   8   57  0.7388 3592
   8   58  0.6688 2752
   8   59  0.9746 2880
   8   60  0.9675 2074
   8   61  0.9297 2564
   8   62  0.9323 2484
   8   63  0.9221 1495
   8   64  0.9844 1391
   8   65  0.9743 2281
   8   66  0.9482 2070
   8   67  0.8931 1515
   8   68  0.9248 2551
   8   69  0.9213 2346
   8   70  0.9127 1447
   8   71  0.9725 1384
   8   72  0.9622 2289
   8   73  0.9427 2007
   8   74  0.9080 2513
   8   75  0.9123 2270
   8   76  0.8869 1338
   8   77  0.9746 1378
   8   78  0.9847 1399
   8   79  0.9009 2316
   8   80  0.9462 2021
   8   81  0.8858 2475
   8   82  0.9702 2250
   9   10  0.9810 2932
   9   11  0.9841  954
   9   12  0.9861 7588
   9   13  0.9789 5354
   9   14  0.9768 2963
   9   15  0.9300  927
   9   16  0.8432 2380
   9   17  0.9860 3394
   9   18  0.9487 2629
   9   19  0.9773 1456
   9   20  0.9764 1966
   9   21  0.9788 2644
   9   22  0.9312 3530
   9   23  0.9832 3224
   9   24  0.9103 3445
   9   25  0.9393 2656
   9   26  0.9383 3550
   9   27  0.6066 3179
   9   28  0.9601 1424
   9   29  0.9785 1932
   9   30  0.9706 2644
   9   31  0.7408 3497
   9   32  0.9666 3194
   9   33  0.8708 2387
   9   34  0.6136 1730
   9   35  0.9786 1827
   9   36  0.8964 1988
   9   37  0.9512 4098
   9   38  0.9123 3119
   9   39  0.9651 2130
   9   40  0.9682 1195
   9   41  0.9811 2475
   9   42  0.9478 4746
   9   43  0.9712 4131
   9   44  0.9476 1179
   9   45  0.9316 3042
   9   46  0.9711 2137
   9   47  0.9674 1184
   9   48  0.9660 2462
   9   49  0.9593 4624
   9   50  0.9681 4077
   9   51  0.9287 3105
   9   52  0.9546 2116
   9   53  0.9665 1175
   9   54  0.9824 2467
   9   55  0.9699 2423
   9   56  0.9384 4681
   9   57  0.7848 3970
   9   58  0.6820 2656
   9   59  0.9626 4580
   9   60  0.9291 3199
   9   61  0.8883 2949
   9   62  0.9227 2399
   9   63  0.9278 1907
   9   64  0.9752 2111
   9   65  0.9619 2770
   9   66  0.8823 3193
   9   67  0.9028 1923
   9   68  0.8741 2880
   9   69  0.9086 2248
   9   70  0.9279 1833
   9   71  0.9659 2095
   9   72  0.9553 2783
   9   73  0.9090 3076
   9   74  0.8633 2813
   9   75  0.8991 2155
   9   76  0.9167 1733
   9   77  0.9472 2033
   9   78  0.9739 2119
   9   79  0.8877 2822
   9   80  0.8880 3109
   9   81  0.8512 2777
   9   82  0.9603 2715
  10   11  0.9902 3544
  10   12  0.9842 2921
  10   13  0.9764 2740
  10   14  0.9668 7691
  10   15  0.9751 3570
  10   16  0.8828 3550
  10   17  0.9923 5841
  10   18  0.9393 1915
  10   19  0.9665 2425
  10   20  0.9674 1836
  10   21  0.9729 1906
  10   22  0.9731 3020
  10   23  0.9803 4808
  10   24  0.9511 2917
  10   25  0.9630 1928
  10   26  0.9744 3013
  10   27  0.5659 4618
  10   28  0.8951 2295
  10   29  0.9638 1810
  10   30  0.9782 1923
  10   31  0.6785 2950
  10   32  0.9617 4750
  10   33  0.8619 2302
  10   34  0.8090 1469
  10   35  0.9670 4932
  10   36  0.9442 2774
  10   37  0.9667 2094
  10   38  0.9706 2040
  10   39  0.9649 2922
  10   40  0.9770 3860
  10   41  0.9775 5366
  10   42  0.9735 3703
  10   43  0.9826 2095
  10   44  0.9606 3840
  10   45  0.9808 2022
  10   46  0.9745 2926
  10   47  0.9762 3812
  10   48  0.9739 5278
  10   49  0.9448 3602
  10   50  0.9761 2086
  10   51  0.9798 2045
  10   52  0.9699 2896
  10   53  0.9765 3801
  10   54  0.9762 5307
  10   55  0.9680 5247
  10   56  0.9697 3613
  10   57  0.7728 2017
  10   58  0.6668 1826
  10   59  0.9509 3573
  10   60  0.9599 2411
  10   61  0.9550 2050
  10   62  0.9387 1939
  10   63  0.9487 3298
  10   64  0.9643 5243
  10   65  0.9661 4008
  10   66  0.9447 2367
  10   67  0.9433 3272
  10   68  0.9482 1985
  10   69  0.9403 1833
  10   70  0.9464 3254
  10   71  0.9300 5163
  10   72  0.9595 3952
  10   73  0.9453 2254
  10   74  0.9527 1979
  10   75  0.9407 1790
  10   76  0.9386 3103
  10   77  0.9590 5102
  10   78  0.9589 5222
  10   79  0.9100 3906
  10   80  0.9507 2248
  10   81  0.9371 1904
  10   82  0.9591 4001
  11   12  0.9747  935
  11   13  0.9894 1012
  11   14  0.9897 3441
  11   15  0.9776 5704
  11   16  0.9390 2837
  11   17  0.9841 2632
  11   18  0.9708  979
  11   19  0.9924 3989
  11   20  0.9937 1889
  11   21  0.9845  977
  11   22  0.9875 1192
  11   23  0.9917 2066
  11   24  0.9736 1140
  11   25  0.9877  997
  11   26  0.9891 1170
  11   27  0.6788 1916
  11   28  0.9305 3900
  11   29  0.9876 1866
  11   30  0.9863  993
  11   31  0.6936 1145
  11   32  0.9824 2013
  11   33  0.8171 2269
  11   34  0.8123 1425
  11   35  0.9897 4226
  11   36  0.9575 3074
  11   37  0.9768  854
  11   38  0.9795 1114
  11   39  0.9823 3232
  11   40  0.9892 5347
  11   41  0.9863 2421
  11   42  0.9869 1103
  11   43  0.9923  844
  11   44  0.9692 5280
  11   45  0.9882 1092
  11   46  0.9930 3229
  11   47  0.9875 5348
  11   48  0.9525 2361
  11   49  0.9716 1070
  11   50  0.9897  838
  11   51  0.9894 1103
  11   52  0.9898 3236
  11   53  0.9866 5323
  11   54  0.9797 2380
  11   55  0.9749 2352
  11   56  0.9809 1056
  11   57  0.7533  770
  11   58  0.6277 1006
  11   59  0.9768 1055
  11   60  0.9713  979
  11   61  0.9790 1508
  11   62  0.9604 2266
  11   63  0.9613 3946
  11   64  0.9707 3959
  11   65  0.9672 1889
  11   66  0.9640  972
  11   67  0.9514 3871
  11   68  0.9673 1481
  11   69  0.9605 2150
  11   70  0.9591 3868
  11   71  0.9412 3853
  11   72  0.9608 1855
  11   73  0.9581  933
  11   74  0.9712 1470
  11   75  0.9584 2139
  11   76  0.9509 3693
  11   77  0.9639 3748
  11   78  0.9649 3941
  11   79  0.9023 1818
  11   80  0.9720  952
  11   81  0.9104 1449
  11   82  0.9618 1915
  12   13  0.9809 5391
  12   14  0.9803 2884
  12   15  0.9685  905
  12   16  0.8413 2364
  12   17  0.9823 3364
  12   18  0.9508 2629
  12   19  0.9743 1451
  12   20  0.9711 1961
  12   21  0.9386 2643
  12   22  0.9615 3526
  12   23  0.9819 3216
  12   24  0.9459 3441
  12   25  0.9780 2656
  12   26  0.9724 3547
  12   27  0.6336 3170
  12   28  0.9503 1419
  12   29  0.9706 1930
  12   30  0.9487 2647
  12   31  0.7818 3493
  12   32  0.9634 3188
  12   33  0.8649 2378
  12   34  0.6185 1725
  12   35  0.9711 1804
  12   36  0.8964 1968
  12   37  0.9558 4088
  12   38  0.9492 3104
  12   39  0.9590 2119
  12   40  0.9636 1174
  12   41  0.9880 2453
  12   42  0.9701 4743
  12   43  0.9727 4126
  12   44  0.9568 1160
  12   45  0.9669 3022
  12   46  0.9651 2126
  12   47  0.9693 1163
  12   48  0.9749 2443
  12   49  0.9526 4625
  12   50  0.9700 4073
  12   51  0.9642 3091
  12   52  0.9496 2108
  12   53  0.9590 1155
  12   54  0.9895 2443
  12   55  0.9806 2404
  12   56  0.9617 4680
  12   57  0.7892 3972
  12   58  0.7032 2643
  12   59  0.9264 4586
  12   60  0.8467 3205
  12   61  0.9270 2955
  12   62  0.9262 2382
  12   63  0.9450 1892
  12   64  0.9797 2085
  12   65  0.9644 2759
  12   66  0.9200 3199
  12   67  0.9311 1910
  12   68  0.9148 2889
  12   69  0.9131 2222
  12   70  0.9416 1822
  12   71  0.9592 2064
  12   72  0.9589 2774
  12   73  0.8318 3082
  12   74  0.9042 2818
  12   75  0.9042 2130
  12   76  0.9335 1720
  12   77  0.9625 2006
  12   78  0.9768 2092
  12   79  0.8811 2804
  12   80  0.9249 3113
  12   81  0.8933 2784
  12   82  0.9609 2704
  13   14  0.9895 2721
  13   15  0.9861 1023
  13   16  0.9458 1382
  13   17  0.9861 3041
  13   18  0.9683 2064
  13   19  0.9854  949
  13   20  0.9887  881
  13   21  0.9887 2054
  13   22  0.9741 3145
  13   23  0.9887 3451
  13   24  0.9742 3074
  13   25  0.9832 2064
  13   26  0.9667 3157
  13   27  0.5711 3399
  13   28  0.8607  906
  13   29  0.9873  861
  13   30  0.9860 2056
  13   31  0.7648 3111
  13   32  0.9819 3421
  13   33  0.8393 2167
  13   34  0.5803  822
  13   35  0.9872 2001
  13   36  0.9672 1178
  13   37  0.9703 3010
  13   38  0.9755 1828
  13   39  0.9873 1225
  13   40  0.9925 1361
  13   41  0.9919 2627
  13   42  0.9859 4426
  13   43  0.9887 3026
  13   44  0.9876 1366
  13   45  0.9896 1780
  13   46  0.9882 1235
  13   47  0.9866 1338
  13   48  0.9777 2617
  13   49  0.9741 4331
  13   50  0.9882 2995
  13   51  0.9838 1813
  13   52  0.9768 1212
  13   53  0.9890 1342
  13   54  0.9899 2610
  13   55  0.9888 2583
  13   56  0.9825 4371
  13   57  0.8651 2917
  13   58  0.7407 1544
  13   59  0.9859 4269
  13   60  0.9753 2773
  13   61  0.9690 2010
  13   62  0.9726 1267
  13   63  0.9766 1501
  13   64  0.9896 2439
  13   65  0.9860 2853
  13   66  0.9657 2764
  13   67  0.9635 1516
  13   68  0.9628 1950
  13   69  0.9602 1204
  13   70  0.9763 1470
  13   71  0.9721 2432
  13   72  0.9816 2855
  13   73  0.9591 2662
  13   74  0.9558 1892
  13   75  0.9560 1134
  13   76  0.9686 1414
  13   77  0.9737 2423
  13   78  0.9875 2434
  13   79  0.9292 2861
  13   80  0.9569 2693
  13   81  0.9491 1821
  13   82  0.9823 2807
  14   15  0.9727 3464
  14   16  0.9105 3487
  14   17  0.9822 5788
  14   18  0.9625 1896
  14   19  0.9877 2320
  14   20  0.9935 1790
  14   21  0.9911 1886
  14   22  0.9890 2995
  14   23  0.9885 4770
  14   24  0.9809 2895
  14   25  0.9869 1907
  14   26  0.9768 2990
  14   27  0.5000 4581
  14   28  0.9367 2192
  14   29  0.9880 1760
  14   30  0.9914 1902
  14   31  0.6620 2929
  14   32  0.9864 4711
  14   33  0.9338 2242
  14   34  0.8086 1431
  14   35  0.9929 4844
